Product,Qty,Price
Rice Wine - Aji Mirin,3013.834,37.2
Sour Puss - Tangerine,1799.804,39.04
Gatorade - Fruit Punch,1742.508,18.37
Irish Cream - Baileys,2140.208,96.43
Basil - Seedlings Cookstown,2795.452,37.12
Beer - Camerons Cream Ale,3551.832,39.77
Horseradish Root,3145.748,74.82
Fennel - Seeds,3821.241,134.54
Sugar - Sweet N Low Individual,1497.649,75.44
Wine - Bouchard La Vignee Pinot,3834.193,24.62
Sachet,2466.278,57.8
Baking Soda,1872.315,89.59
Soup - Knorr Classic Can. Chili,355.92,62.45
Syrup - Monin - Granny Smith,1061.704,87.65
Island Oasis - Magarita Mix,2319.452,106.8
Gherkin - Sour,2606.849,67.67
Mustard - Seed,389.607,84.26
Wine - Shiraz Wolf Blass Premium,332.324,134.05
Pasta - Fusili Tri - Coloured,2376.784,123.65
Pasta - Fettuccine Egg Fresh,3009.0,130.27
French Pastries,1145.781,102.25
Beer - Alexander Kieths Pale Ale,2006.249,16.76
Wine - Chateauneuf Du Pape,553.322,13.36
Vodka - Lemon Absolut,1972.199,51.82
Wine - Tio Pepe Sherry Fino,1060.924,57.21
Beer - True North Strong Ale,390.885,24.24
Rosemary - Dry,1727.59,100.35
Cups 10oz Trans,1108.533,102.76
Kohlrabi,2378.354,147.77
Pork - Suckling Pig,897.97,20.08
Shark - Loin,2687.245,20.62
Goulash Seasoning,1903.178,104.88
Sterno - Chafing Dish Fuel,2609.689,71.52
Wine - Sawmill Creek Autumn,2782.872,80.15
Ezy Change Mophandle,3154.451,65.53
Munchies Honey Sweet Trail Mix,2811.803,133.87
Raspberries - Frozen,1288.558,16.42
Beef - Cow Feet Split,3978.806,40.16
Carbonated Water - Peach,3387.243,127.67
Cookie - Oreo 100x2,2167.223,141.09
Table Cloth 62x120 White,219.608,36.49
Flour - Whole Wheat,2484.569,145.35
Sage - Ground,1883.222,73.99
Cleaner - Lime Away,1211.825,35.04
Miso Paste White,101.396,16.65
Trout - Smoked,3733.319,139.94
Chinese Foods - Pepper Beef,618.63,17.52
Hummus - Spread,3518.01,65.24
Yeast - Fresh Fleischman,3687.139,138.84
Beef - Eye Of Round,2050.795,98.37
Sour Puss - Tangerine,1119.615,136.51
Loaf Pan - 2 Lb Foil,1986.054,95.42
Cake - Lemon Chiffon,3978.052,136.95
Water - Evian 355 Ml,1429.602,144.45
Pepper - Paprika Spanish,512.901,20.57
Roe - Lump Fish Red,3809.059,71.16
Ocean Spray - Kiwi Strawberry,2166.531,76.57
Salmon - Fillets,3614.974,117.59
Coffee - Frthy Coffee Crisp,3056.214,91.72
Syrup - Monin Swiss Choclate,3268.551,118.09
Cookie Choc,1221.287,11.52
Nacho Chips,2350.723,140.09
Bar - Sweet And Salty Chocolate,3067.984,54.35
Wine - Lou Black Shiraz,3453.625,39.76
Ice Cream Bar - Hageen Daz To,1222.839,88.71
Filo Dough,2639.375,104.99
Pasta - Lasagna Dry,3903.276,19.04
Lamb Shoulder Boneless Nz,1976.815,29.83
Oxtail - Cut,2612.814,134.74
Peach - Halves,2401.741,46.32
Nacho Chips,404.54,41.06
Filo Dough,2714.539,51.48
Pie Filling - Cherry,2036.436,24.03
Soup Campbells - Italian Wedding,2570.435,13.11
Wine - Casablanca Valley,1588.831,109.87
Bread - Wheat Baguette,3536.439,91.93
Currants,1908.617,27.88
Muffin Carrot - Individual,1582.392,20.91
Tea - Honey Green Tea,970.794,109.29
Soda Water - Club Soda 355 Ml,515.452,17.03
Wine - White Schroder And Schyl,2029.487,129.23
Chips Potato All Dressed - 43g,231.026,68.94
Pepper - White Whole,1779.169,58.44
Pork Casing,2598.467,43.07
Cookies - Englishbay Oatmeal,651.276,45.92
Bay Leaf Fresh,2751.015,22.78
Container - Clear 16 Oz,440.534,43.81
Soup - Campbells Chicken,1105.66,121.27
Wine - Cousino Macul Antiguas,381.894,37.59
Scallops - In Shell,3134.771,96.23
Truffle Cups Green,2827.851,62.63
Calvados - Boulard,296.92,68.58
Ocean Spray - Kiwi Strawberry,3506.982,102.68
Artichoke - Hearts Canned,3431.819,84.04
Chips Potato Swt Chilli Sour,2445.473,79.38
Wine - Semi Dry Riesling Vineland,3766.41,84.08
Table Cloth 62x120 White,1420.814,126.35
Tart Shells - Savory 2,796.535,71.7
Mushroom - Enoki Fresh,338.986,74.09
Bread - Bistro White,2469.661,84.24
Smoked Tongue,2334.781,90.56
Peas - Frozen,931.543,23.86
Veal - Loin,98.241,50.44
Apricots - Dried,1932.334,93.45
Vinegar - Balsamic,2764.533,77.87
Cheese - Mozzarella Buffalo,2708.445,35.96
Squash - Pepper,1462.724,146.1
Tuna - Yellowfin,2208.365,41.5
Chips - Assorted,1241.703,76.19
Lettuce - Romaine,1039.36,54.24
Flour - Bran Red,1448.822,12.36
Pasta - Penne Rigate Dry,655.415,141.71
Blackberries,3543.615,92.65
Yoplait - Strawbrasp Peac,1138.147,106.65
Wine La Vielle Ferme Cote Du,1708.547,63.33
Beer - Guiness,1216.278,87.43
Beer - Tetleys,1204.519,127.07
Placemat - Scallop White,2620.996,77.88
Coffee Beans - Chocolate,2600.567,141.5
Sugar - Invert,3444.851,131.45
Sausage - Liver,1529.536,40.9
Muffin Batt - Carrot Spice,948.353,10.09
Jam - Blackberry 20 Ml Jar,363.767,21.5
Oil - Peanut,2721.927,28.16
Soup - Campbells Chili,3273.997,102.33
Anisette - Mcguiness,3935.528,27.41
Bay Leaf,324.315,137.23
Wine - Domaine Boyar Royal,1234.159,95.14
Petite Baguette,1161.726,91.85
Cauliflower,3896.588,129.1
Fruit Mix - Light,2724.236,61.18
Nacho Chips,3145.557,132.77
Shichimi Togarashi Peppeers,999.528,109.09
Oil - Hazelnut,1188.116,84.27
Foam Tray S2,1366.446,21.75
Flounder - Fresh,3111.237,118.3
Canadian Emmenthal,419.545,78.32
Ecolab - Hobart Upr Prewash Arm,2674.87,65.78
Wine - Vineland Estate Semi - Dry,2120.152,74.08
Cheese - Cheddar Old White,1398.732,57.31
Basil - Dry Rubbed,404.208,85.6
